,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3219,2015-03-09,74.74405766155589,1.0122128090355509,148.54456846155927,74.74405766155589,74.74405766155589,-2.136793056707341,-2.136793056707341,-2.136793056707341,0.126898002088106,0.126898002088106,0.126898002088106,-2.263691058795447,-2.263691058795447,-2.263691058795447,0.0,0.0,0.0,72.60726460484854
3220,2015-03-10,74.8067973942359,5.775994917275114,148.0250599936018,74.8067973942359,74.8067973942359,-2.5890749841609653,-2.5890749841609653,-2.5890749841609653,-0.007335517546303255,-0.007335517546303255,-0.007335517546303255,-2.5817394666146622,-2.5817394666146622,-2.5817394666146622,0.0,0.0,0.0,72.21772241007494
3221,2015-03-11,74.86953712691583,0.7352072897463569,143.84733759352645,74.86953712691583,74.86953712691583,-2.994146698722016,-2.994146698722016,-2.994146698722016,-0.12239914247205586,-0.12239914247205586,-0.12239914247205586,-2.871747556249961,-2.871747556249961,-2.871747556249961,0.0,0.0,0.0,71.87539042819381
3222,2015-03-12,74.93227685959587,-1.0987611516149778,146.69040912093476,74.93227685959587,74.93227685959587,-3.1408272889209212,-3.1408272889209212,-3.1408272889209212,-0.010938039845069468,-0.010938039845069468,-0.010938039845069468,-3.129889249075852,-3.129889249075852,-3.129889249075852,0.0,0.0,0.0,71.79144957067496
3223,2015-03-13,74.99501659227582,2.046591282462872,146.30130415385918,74.99501659227582,74.99501659227582,-4.2855146104183754,-4.2855146104183754,-4.2855146104183754,-0.9328388400161294,-0.9328388400161294,-0.9328388400161294,-3.352675770402246,-3.352675770402246,-3.352675770402246,0.0,0.0,0.0,70.70950198185744
3224,2015-03-16,75.1832357903158,5.356200423084017,140.2055276130124,75.1832357903158,75.1832357903158,-3.653584262279705,-3.653584262279705,-3.653584262279705,0.12689800208950575,0.12689800208950575,0.12689800208950575,-3.780482264369211,-3.780482264369211,-3.780482264369211,0.0,0.0,0.0,71.5296515280361
3225,2015-03-17,75.24597552299578,-0.07221249273550971,144.32511815717783,75.24597552299578,75.24597552299578,-3.843348917643256,-3.843348917643256,-3.843348917643256,-0.00733551754651048,-0.00733551754651048,-0.00733551754651048,-3.836013400096745,-3.836013400096745,-3.836013400096745,0.0,0.0,0.0,71.40262660535252
3226,2015-03-18,75.30871525567579,-3.0638707296271113,147.3023195724617,75.30871525567579,75.30871525567579,-3.9684478591771715,-3.9684478591771715,-3.9684478591771715,-0.12239914247240631,-0.12239914247240631,-0.12239914247240631,-3.8460487167047654,-3.8460487167047654,-3.8460487167047654,0.0,0.0,0.0,71.34026739649862
3227,2015-03-19,75.37145498835577,2.3033402618898995,144.76916846474597,75.37145498835577,75.37145498835577,-3.8213325819254074,-3.8213325819254074,-3.8213325819254074,-0.010938039846177154,-0.010938039846177154,-0.010938039846177154,-3.8103945420792296,-3.8103945420792296,-3.8103945420792296,0.0,0.0,0.0,71.55012240643036
3228,2015-03-20,75.43419472103577,-6.218384451026007,141.2531459643192,75.43419472103577,75.43419472103577,-4.662395831774157,-4.662395831774157,-4.662395831774157,-0.9328388400160967,-0.9328388400160967,-0.9328388400160967,-3.72955699175806,-3.72955699175806,-3.72955699175806,0.0,0.0,0.0,70.7717988892616
3229,2015-03-23,75.62241391907573,3.8851773368602944,146.75163112377152,75.62241391907573,75.62241391907573,-3.104896409915048,-3.104896409915048,-3.104896409915048,0.12689800208735588,0.12689800208735588,0.12689800208735588,-3.231794412002403,-3.231794412002403,-3.231794412002403,0.0,0.0,0.0,72.51751750916068
